Time, Quadrant Number, Ball Colour, Type
66.70, 3, red, Exit
66.70, 1, red, Entry
66.74, 1, red, Exit
66.74, 3, red, Entry
66.77, 2, yellow, Exit
66.77, 4, yellow, Entry
66.84, 3, red, Exit
66.84, 4, red, Entry
66.87, 4, red, Exit
66.87, 3, red, Entry
66.94, 3, red, Exit
66.94, 1, red, Entry
66.97, 1, red, Exit
66.97, 3, red, Entry
67.20, 4, blue, Exit
67.20, 2, blue, Entry
67.24, 2, blue, Exit
67.24, 4, blue, Entry
67.30, 3, red, Exit
67.30, 1, red, Entry
67.37, 1, red, Exit
67.37, 3, red, Entry
67.44, 3, red, Exit
67.44, 4, red, Entry
67.50, 4, red, Exit
67.50, 3, red, Entry
67.70, 3, red, Exit
67.70, 2, red, Entry
67.74, 2, red, Exit
67.74, 3, red, Entry
67.77, 3, red, Exit
67.77, 4, red, Entry
67.80, 4, red, Exit
67.80, 3, red, Entry
67.83, 3, red, Exit
67.83, 1, red, Entry
67.87, 1, red, Exit
67.87, 2, red, Entry
67.90, 2, red, Exit
67.90, 3, red, Entry
67.93, 3, red, Exit
67.93, 1, red, Entry
68.03, 1, red, Exit
68.03, 4, red, Entry
68.07, 4, red, Exit
68.07, 3, red, Entry
68.10, 3, red, Exit
68.10, 4, red, Entry
68.20, 4, red, Exit
68.20, 1, red, Entry
68.23, 1, red, Exit
68.23, 4, red, Entry
68.27, 4, red, Exit
68.27, 3, red, Entry
68.30, 3, red, Exit
68.30, 4, red, Entry
68.40, 4, red, Exit
68.40, 3, red, Entry
68.43, 3, red, Exit
68.43, 1, red, Entry
68.47, 1, red, Exit
68.47, 3, red, Entry
68.53, 3, red, Exit
68.53, 4, red, Entry
68.57, 4, red, Exit
68.57, 3, red, Entry
68.73, 3, red, Exit
68.73, 4, red, Entry
68.80, 4, red, Exit
68.80, 3, red, Entry
68.83, 3, red, Exit
68.83, 1, red, Entry
68.87, 1, red, Exit
68.87, 3, red, Entry
68.90, 3, red, Exit
68.90, 4, red, Entry
68.93, 4, red, Exit
68.93, 1, red, Entry
68.97, 1, red, Exit
68.97, 3, red, Entry
69.33, 3, red, Exit
69.33, 1, red, Entry
69.40, 1, red, Exit
69.40, 3, red, Entry
69.53, 3, red, Exit
69.53, 4, red, Entry
69.63, 4, red, Exit
69.63, 1, red, Entry
69.70, 1, red, Exit
69.70, 3, red, Entry
69.77, 3, red, Exit
69.77, 1, red, Entry
69.80, 1, red, Exit
69.80, 4, red, Entry
69.83, 4, red, Exit
69.83, 3, red, Entry
69.90, 3, red, Exit
69.90, 2, red, Entry
69.93, 2, red, Exit
69.93, 4, red, Entry
69.97, 4, red, Exit
69.97, 3, red, Entry
70.00, 3, red, Exit
70.00, 4, red, Entry
70.03, 4, red, Exit
70.03, 1, red, Entry
70.13, 1, red, Exit
70.13, 3, red, Entry
70.17, 3, red, Exit
70.17, 1, red, Entry
70.23, 1, red, Exit
70.23, 3, red, Entry
70.33, 3, red, Exit
70.33, 1, red, Entry
70.36, 1, red, Exit
70.36, 3, red, Entry
70.40, 3, red, Exit
70.40, 2, red, Entry
70.43, 2, red, Exit
70.43, 3, red, Entry
70.46, 3, red, Exit
70.46, 1, red, Entry
70.50, 1, red, Exit
70.50, 3, red, Entry
70.56, 3, red, Exit
70.56, 1, red, Entry
70.60, 1, red, Exit
70.60, 4, red, Entry
70.63, 4, red, Exit
70.63, 3, red, Entry
70.66, 3, red, Exit
70.66, 4, red, Entry
70.70, 4, red, Exit
70.70, 3, red, Entry
70.73, 3, red, Exit
70.73, 4, red, Entry
70.76, 4, red, Exit
70.76, 3, red, Entry
70.83, 4, blue, Exit
70.83, 2, blue, Entry
70.83, 3, red, Exit
70.83, 4, red, Entry
70.90, 4, red, Exit
70.90, 1, red, Entry
70.96, 1, red, Exit
70.96, 3, red, Entry
71.00, 3, red, Exit
71.00, 2, red, Entry
71.06, 2, red, Exit
71.06, 3, red, Entry
71.10, 3, red, Exit
71.10, 4, red, Entry
71.13, 4, red, Exit
71.13, 1, red, Entry
71.16, 1, red, Exit
71.16, 4, red, Entry
71.23, 4, red, Exit
71.23, 3, red, Entry
71.30, 3, red, Exit
71.30, 1, red, Entry
71.46, 2, blue, Exit
71.46, 4, blue, Entry
71.46, 1, red, Exit
71.46, 2, red, Entry
71.50, 2, red, Exit
71.50, 3, red, Entry
71.53, 3, red, Exit
71.53, 4, red, Entry
71.60, 4, red, Exit
71.60, 3, red, Entry
71.63, 3, red, Exit
71.63, 1, red, Entry
71.70, 1, red, Exit
71.70, 3, red, Entry
71.90, 3, red, Exit
71.90, 1, red, Entry
71.93, 1, red, Exit
71.93, 4, red, Entry
71.96, 4, red, Exit
71.96, 3, red, Entry
72.00, 3, red, Exit
72.00, 2, red, Entry
72.03, 2, red, Exit
72.03, 3, red, Entry
72.10, 3, red, Exit
72.10, 4, red, Entry
72.13, 4, red, Exit
72.13, 2, red, Entry
72.16, 2, red, Exit
72.16, 4, red, Entry
72.23, 4, red, Exit
72.23, 3, red, Entry
72.30, 3, red, Exit
72.30, 1, red, Entry
72.40, 1, red, Exit
72.40, 4, red, Entry
72.43, 4, red, Exit
72.43, 3, red, Entry
72.53, 3, red, Exit
72.53, 4, red, Entry
72.59, 4, red, Exit
72.59, 1, red, Entry
72.63, 1, red, Exit
72.63, 4, red, Entry
72.66, 4, red, Exit
72.66, 1, red, Entry
72.69, 1, red, Exit
72.69, 4, red, Entry
72.73, 4, red, Exit
72.73, 1, red, Entry
72.76, 1, red, Exit
72.76, 3, red, Entry
72.79, 3, red, Exit
72.79, 1, red, Entry
72.83, 1, red, Exit
72.83, 3, red, Entry
72.89, 3, red, Exit
72.89, 1, red, Entry
73.06, 1, red, Exit
73.06, 4, red, Entry
73.13, 4, red, Exit
73.13, 1, red, Entry
73.23, 1, red, Exit
73.23, 2, red, Entry
73.26, 2, red, Exit
73.26, 3, red, Entry
73.73, 3, red, Exit
73.73, 4, red, Entry
73.76, 4, red, Exit
73.76, 3, red, Entry
73.86, 3, red, Exit
73.86, 1, red, Entry
73.89, 1, red, Exit
73.89, 3, red, Entry
73.96, 3, red, Exit
73.96, 1, red, Entry
74.19, 1, red, Exit
74.19, 3, red, Entry
74.23, 3, red, Exit
74.23, 1, red, Entry
74.26, 1, red, Exit
74.26, 4, red, Entry
74.29, 4, red, Exit
74.29, 3, red, Entry
74.39, 3, red, Exit
74.39, 1, red, Entry
74.56, 1, red, Exit
74.56, 4, red, Entry
74.63, 4, red, Exit
74.63, 1, red, Entry
74.76, 1, red, Exit
74.76, 2, red, Entry
74.86, 2, red, Exit
74.86, 3, red, Entry
74.96, 3, red, Exit
74.96, 4, red, Entry
74.99, 4, red, Exit
74.99, 3, red, Entry
75.06, 3, red, Exit
75.06, 2, red, Entry
75.09, 2, red, Exit
75.09, 3, red, Entry
75.12, 3, red, Exit
75.12, 1, red, Entry
75.19, 1, red, Exit
75.19, 2, red, Entry
75.22, 2, red, Exit
75.22, 1, red, Entry
75.62, 1, red, Exit
75.62, 3, red, Entry
75.69, 3, red, Exit
75.69, 1, red, Entry
75.72, 1, red, Exit
75.72, 3, red, Entry
75.76, 3, red, Exit
75.76, 1, red, Entry
75.79, 1, red, Exit
75.79, 3, red, Entry
75.89, 3, red, Exit
75.89, 1, red, Entry
76.02, 1, red, Exit
76.02, 3, red, Entry
76.16, 3, red, Exit
76.16, 2, red, Entry
76.22, 2, red, Exit
76.22, 4, red, Entry
76.26, 4, red, Exit
76.26, 3, red, Entry
76.29, 3, red, Exit
76.29, 2, red, Entry
76.32, 2, red, Exit
76.32, 1, red, Entry
76.36, 1, red, Exit
76.36, 2, red, Entry
76.39, 2, red, Exit
76.39, 1, red, Entry
76.46, 1, red, Exit
76.46, 2, red, Entry
76.49, 2, red, Exit
76.49, 3, red, Entry
76.52, 3, red, Exit
76.52, 2, red, Entry
76.56, 2, red, Exit
76.56, 4, red, Entry
76.59, 4, red, Exit
76.59, 2, red, Entry
76.66, 2, red, Exit
76.66, 3, red, Entry
76.69, 3, red, Exit
76.69, 2, red, Entry
76.76, 2, red, Exit
76.76, 1, red, Entry
76.79, 1, red, Exit
76.79, 4, red, Entry
76.82, 4, red, Exit
76.82, 2, red, Entry
76.89, 2, red, Exit
76.89, 3, red, Entry
76.92, 3, red, Exit
76.92, 1, red, Entry
76.99, 1, red, Exit
76.99, 3, red, Entry
77.02, 3, red, Exit
77.02, 4, red, Entry
77.06, 4, red, Exit
77.06, 2, red, Entry
77.09, 2, red, Exit
77.09, 3, red, Entry
77.12, 3, red, Exit
77.12, 2, red, Entry
77.15, 2, red, Exit
77.15, 1, red, Entry
77.32, 1, red, Exit
77.32, 2, red, Entry
77.35, 2, red, Exit
77.35, 4, red, Entry
77.49, 4, red, Exit
77.49, 2, red, Entry
86.14, 2, red, Exit
86.14, 4, red, Entry
86.18, 4, red, Exit
86.18, 2, red, Entry
86.21, 2, red, Exit
86.21, 4, red, Entry
86.24, 4, blue, Exit
86.24, 2, blue, Entry
86.31, 2, blue, Exit
86.31, 4, blue, Entry
86.31, 4, red, Exit
86.31, 3, red, Entry
86.37, 3, red, Exit
86.37, 4, red, Entry
86.41, 4, red, Exit
86.41, 3, red, Entry
86.71, 3, red, Exit
86.71, 4, red, Entry
86.74, 4, red, Exit
86.74, 3, red, Entry
86.94, 3, red, Exit
86.94, 2, red, Entry
86.97, 2, red, Exit
86.97, 1, red, Entry
87.01, 1, red, Exit
87.01, 2, red, Entry
87.04, 2, red, Exit
87.04, 1, red, Entry
87.07, 1, red, Exit
87.07, 3, red, Entry
87.11, 3, red, Exit
87.11, 2, red, Entry
87.17, 2, red, Exit
87.17, 3, red, Entry
87.21, 3, red, Exit
87.21, 4, red, Entry
87.34, 4, red, Exit
87.34, 3, red, Entry
87.37, 3, red, Exit
87.37, 4, red, Entry
87.41, 4, red, Exit
87.41, 1, red, Entry
87.54, 1, red, Exit
87.54, 3, red, Entry
87.74, 3, red, Exit
87.74, 1, red, Entry
87.77, 1, red, Exit
87.77, 3, red, Entry
87.91, 3, red, Exit
87.91, 1, red, Entry
87.97, 1, red, Exit
87.97, 3, red, Entry
88.04, 4, blue, Exit
88.04, 2, blue, Entry
88.07, 2, blue, Exit
88.07, 4, blue, Entry
88.07, 3, red, Exit
88.07, 4, red, Entry
88.11, 4, red, Exit
88.11, 3, red, Entry
88.31, 3, red, Exit
88.31, 4, red, Entry
88.34, 4, red, Exit
88.34, 1, red, Entry
88.37, 1, red, Exit
88.37, 2, red, Entry
88.41, 2, red, Exit
88.41, 4, red, Entry
88.44, 4, red, Exit
88.44, 3, red, Entry
88.57, 3, red, Exit
88.57, 4, red, Entry
88.61, 4, red, Exit
88.61, 2, red, Entry
88.67, 2, red, Exit
88.67, 3, red, Entry
88.74, 3, red, Exit
88.74, 4, red, Entry
88.80, 4, red, Exit
88.80, 1, red, Entry
88.84, 1, red, Exit
88.84, 3, red, Entry
88.94, 3, red, Exit
88.94, 1, red, Entry
88.97, 1, red, Exit
88.97, 3, red, Entry
89.20, 3, red, Exit
89.20, 4, red, Entry
89.24, 4, red, Exit
89.24, 1, red, Entry
89.27, 1, red, Exit
89.27, 4, red, Entry
89.34, 4, red, Exit
89.34, 3, red, Entry
89.47, 3, red, Exit
89.47, 1, red, Entry
89.50, 1, red, Exit
89.50, 3, red, Entry
89.54, 3, red, Exit
89.54, 4, red, Entry
89.64, 4, red, Exit
89.64, 3, red, Entry
89.67, 3, red, Exit
89.67, 2, red, Entry
89.70, 2, red, Exit
89.70, 3, red, Entry
89.74, 3, red, Exit
89.74, 4, red, Entry
89.77, 4, red, Exit
89.77, 3, red, Entry
89.80, 3, red, Exit
89.80, 4, red, Entry
92.37, 4, blue, Exit
92.37, 2, blue, Entry
92.50, 2, blue, Exit
92.50, 4, blue, Entry
93.30, 4, red, Exit
93.30, 3, red, Entry
93.36, 3, red, Exit
93.36, 2, red, Entry
93.43, 2, red, Exit
93.43, 3, red, Entry
93.46, 3, red, Exit
93.46, 4, red, Entry
93.70, 4, red, Exit
93.70, 3, red, Entry
93.83, 3, red, Exit
93.83, 4, red, Entry
93.86, 4, red, Exit
93.86, 1, red, Entry
93.90, 1, red, Exit
93.90, 3, red, Entry
93.93, 3, red, Exit
93.93, 1, red, Entry
93.96, 1, red, Exit
93.96, 3, red, Entry
94.06, 3, red, Exit
94.06, 4, red, Entry
94.10, 4, red, Exit
94.10, 3, red, Entry
94.33, 3, red, Exit
94.33, 4, red, Entry
98.02, 4, blue, Exit
98.02, 2, blue, Entry
98.66, 2, blue, Exit
98.66, 4, blue, Entry
99.56, 4, red, Exit
99.56, 3, red, Entry
99.59, 4, yellow, Exit
99.59, 2, yellow, Entry
99.62, 3, red, Exit
99.62, 4, red, Entry
99.66, 4, red, Exit
99.66, 3, red, Entry
99.76, 3, red, Exit
99.76, 4, red, Entry
99.82, 4, red, Exit
99.82, 3, red, Entry
99.86, 3, red, Exit
99.86, 1, red, Entry
100.39, 1, red, Exit
100.39, 4, red, Entry
100.49, 4, red, Exit
100.49, 1, red, Entry
100.59, 1, red, Exit
100.59, 4, red, Entry
